File ID,Ticker Symbol,Country by Ticker,UN Defined,Major Dialect Family,Language Family + Area Based,File Length (seconds),Sampling Rate (Hz),Region
4468679,PAM,Argentina,Latin America and Caribbean,Other,Spanish/Portuguese,3300,16000,Spanish_Portuguese
4468919,LOMA,Argentina,Latin America and Caribbean,Other,Spanish/Portuguese,1214,22050,Spanish_Portuguese
4469528,CRESY,Argentina,Latin America and Caribbean,Other,Spanish/Portuguese,1671,24000,Spanish_Portuguese
4470290,DESP,Argentina,Latin America and Caribbean,Other,Spanish/Portuguese,1627,24000,Spanish_Portuguese
4470595,SUPV,Argentina,Latin America and Caribbean,Other,Spanish/Portuguese,3961,16000,Spanish_Portuguese
4481952,CAHPF,Australia,Oceania,Oceanic,English,3710,24000,English
4482383,PBTHF,Australia,Oceania,Oceanic,English,3472,24000,English
4482968,ELKMF,Australia,Oceania,Oceanic,English,1344,16000,English
4482976,SYAAF,Australia,Oceania,Oceanic,English,2598,16000,English
4482983,PILBF,Australia,Oceania,Oceanic,English,3829,16000,English
4449269,ERJ,Brazil,Latin America and Caribbean,Other,Spanish/Portuguese,2656,22050,Spanish_Portuguese
4450779,ARCE,Brazil,Latin America and Caribbean,Other,Spanish/Portuguese,2168,24000,Spanish_Portuguese
4467079,LND,Brazil,Latin America and Caribbean,Other,Spanish/Portuguese,4474,11025,Spanish_Portuguese
4467717,GOL,Brazil,Latin America and Caribbean,Other,Spanish/Portuguese,3793,24000,Spanish_Portuguese
4470663,SBS,Brazil,Latin America and Caribbean,Other,Spanish/Portuguese,3543,16000,Spanish_Portuguese
4481601,UBMRF,Canada,Europe and Northern America,North American,English,2515,24000,English
4483296,IMO,Canada,Europe and Northern America,North American,English,4281,24000,English
4483623,EXCOF,Canada,Europe and Northern America,North American,English,1686,24000,English
4483668,ATASAF,Canada,Europe and Northern America,North American,English,2795,22050,English
4483678,GIB,Canada,Europe and Northern America,North American,English,3397,24000,English
4483680,APYRF,Canada,Europe and Northern America,North American,English,4034,24000,English
4329526,LTM,Chile,Latin America and Caribbean,Other,Spanish/Portuguese,2104,24000,Spanish_Portuguese
4423872,ITCB,Chile,Latin America and Caribbean,Other,Spanish/Portuguese,3281,24000,Spanish_Portuguese
4446796,CCU,Chile,Latin America and Caribbean,Other,Spanish/Portuguese,1682,24000,Spanish_Portuguese
